Symbol,Name,Last,Change,%Chg,High,Low,Volume,Time
TSN,"Tyson Foods",71.17,0.52,+0.74%,71.32,70.68,1423100,04/11/19
TSS,"Total System Services",98.39,0.18,+0.18%,98.56,97.65,1278300,04/11/19
TTWO,"Take-Two Interacti",95.27,-0.06,-0.06%,96.23,94.8,1182100,04/11/19
TWTR,"Twitter Inc",34.58,-0.17,-0.49%,34.87,34.41,10982600,04/11/19
TXN,"Texas Instruments",114.88,-0.04,-0.03%,115.43,114.13,2799200,04/11/19
TXT,"Textron Inc",50.77,0.31,+0.61%,51.03,50.55,1264000,04/11/19
UA,"Under Armour Inc Class C Comm",19.34,0.02,+0.10%,19.59,19.23,911000,04/11/19
UAA,"Under Armour",21.4,0.04,+0.19%,21.69,21.26,2611400,04/11/19
UAL,"United Continental Holdings",85.75,1.23,+1.46%,86.42,84.56,2570200,04/11/19
UDR,"United Dominion Realty Trust",45.48,0.12,+0.26%,45.71,45.31,1589800,04/11/19
UHS,"Universal Health Services",132.42,-2.07,-1.54%,135.18,132.29,425800,04/11/19
ULTA,"Ulta Beauty Inc",350.22,-0.06,-0.02%,351.87,348,708700,04/11/19
UNH,"Unitedhealth Group Inc",235.42,-10.61,-4.31%,246.92,232.68,8223300,04/11/19
UNM,"Unumprovident Corp",36.32,0.94,+2.66%,36.71,35.5,3055700,04/11/19
UNP,"Union Pacific Corp",166.67,0.32,+0.19%,167.03,165.26,2378400,04/11/19
UPS,"United Parcel Service",113.49,0.41,+0.36%,113.73,112.88,2384700,04/11/19
URI,"United Rentals",124.75,3.56,+2.94%,126.12,121.38,2156400,04/11/19
USB,"U.S. Bancorp",49.61,0.31,+0.63%,49.98,49.3,4651400,04/11/19
UTX,"United Technologies Corp",132.82,1.16,+0.88%,133,131.48,1741900,04/11/19
V,"Visa Inc",157.86,-0.7,-0.44%,159.3,157.44,5771600,04/11/19
VAR,"Varian Medical Systems",140.52,-0.07,-0.05%,140.98,139.88,458000,04/11/19
VFC,"V.F. Corp",89.3,-0.05,-0.06%,89.93,88.89,1093700,04/11/19
VIAB,"Viacom Inc Cl B",29.85,-0.39,-1.29%,30.5,29.83,3766300,04/11/19
VLO,"Valero Energy Corp",89.04,0.61,+0.69%,90.44,88.13,3682200,04/11/19
VMC,"Vulcan Materials Company",120.49,0.73,+0.61%,121,119.28,655900,04/11/19
VNO,"Vornado Realty Trust",67.75,-0.14,-0.21%,68.49,67.6,710100,04/11/19
VRSK,"Verisk Analytics Inc",135.79,1.03,+0.76%,135.84,134.3,554200,04/11/19
VRSN,"Verisign Inc",189.53,0.56,+0.30%,190.48,188.17,1070700,04/11/19
VRTX,"Vertex Pharmaceutic",185.12,-5.25,-2.76%,191.42,184.22,1971900,04/11/19
VTR,"Ventas Inc",61.89,-0.71,-1.13%,62.83,61.7,1576500,04/11/19
VZ,"Verizon Communications Inc",58.56,-0.05,-0.09%,58.73,58.19,9219900,04/11/19
WAB,"Wabtec Corp",74.95,0.59,+0.79%,74.98,73.82,906400,04/11/19
WAT,"Waters Corp",250.75,0.07,+0.03%,251.26,249.25,310200,04/11/19
WBA,"Walgreens Boots Alliance",53.44,-1.07,-1.96%,54.8,53.32,8194300,04/11/19
WCG,"Wellcare Group",277.5,-6.62,-2.33%,286.26,275.47,1235000,04/11/19
WDC,"Western Digital Cp",50.83,0.14,+0.28%,51.6,50.43,3372200,04/11/19
WEC,"Wisconsin Energy Corp",77.39,0.45,+0.58%,77.5,76.91,1259200,04/11/19
WELL,"Welltower Inc",76.52,0,0.00%,76.94,76.07,1741700,04/11/19
WFC,"Wells Fargo & Company",47.74,-0.05,-0.10%,48.26,47.38,33662602,04/11/19
WHR,"Whirlpool Corp",139.72,2.69,+1.96%,140.39,136.46,582100,04/11/19
WLTW,"Willis Towers Wts",179.77,0.73,+0.41%,180.37,178.95,373400,04/11/19
WM,"Waste Management",100.57,-2.36,-2.29%,100.81,97.55,3433500,04/11/19
WMB,"Williams Companies",28.76,0.1,+0.35%,28.78,28.45,4528700,04/11/19
WMT,"Wal-Mart Stores",100.8,1.2,+1.20%,100.83,99.47,5606800,04/11/19
WRK,"Westrock Company",39,0.01,+0.03%,39.75,38.87,1707600,04/11/19
WU,"Western Union Company",19.17,-0.2,-1.03%,19.29,18.99,6822000,04/11/19
WY,"Weyerhaeuser Company",27.08,0.37,+1.39%,27.17,26.73,4206200,04/11/19
WYNN,"Wynn Resorts Ltd",141.02,0.02,+0.01%,141.47,139.28,1768000,04/11/19
XEC,"Cimarex Energy CO",67.2,-0.77,-1.13%,68.34,66.14,1052400,04/11/19
